Name,EX,EW,Subtotal-(EX+EW),CR(PE),CR(PEW),Subtotal-(EX+EW+CR(PE)+CR(PEW)),CR,EN,VU,Subtotal(threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Palestine, State of,0,0,0,0,0,0,1,6,4,11,0,7,224,6,248
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
Saudi Arabia,0,0,0,0,0,0,0,3,1,4,0,0,269,2,275
Syrian Arab Republic,0,0,0,0,0,0,5,25,14,44,0,15,307,28,394
Tajikistan,0,0,0,0,0,0,6,3,2,11,0,2,198,22,233
Turkey,0,0,0,0,0,0,67,44,24,135,0,31,651,71,888
Turkmenistan,0,0,0,0,0,0,0,2,2,4,0,3,184,17,208
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55
Uzbekistan,0,0,0,0,0,0,4,8,3,15,0,1,205,21,242
Yemen,3,0,3,0,0,3,6,29,129,164,0,22,435,38,662
