Name,EX,EW,Subtotal-(EX+EW),CR(PE),CR(PEW),Subtotal-(EX+EW+CR(PE)+CR(PEW)),CR,EN,VU,Subtotal(threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Kyrgyzstan,0,0,0,0,0,0,1,12,25,38,0,24,469,14,545
Lebanon,0,0,0,0,0,0,13,29,48,90,0,40,742,67,939
Oman,0,0,0,0,0,0,14,41,80,135,0,92,1625,129,1981
Pakistan,0,0,0,0,0,0,25,63,111,199,0,101,1717,112,2129
Palestine,0,0,0,0,0,0,5,16,22,43,0,24,381,22,470
Qatar,0,0,0,0,0,0,12,15,43,70,0,54,680,25,829
Saudi Arabia,1,0,1,0,0,1,14,39,111,164,2,137,1662,150,2116
Syria,1,0,1,6,0,7,22,39,65,126,0,50,884,86,1147
Tajikistan,0,0,0,1,0,1,3,10,24,37,0,21,469,26,553
Turkey,4,0,4,12,0,16,72,112,125,309,0,104,1324,190,1931
Turkmenistan,0,1,1,1,0,2,11,14,30,55,0,30,583,44,713
United Arab Emirates,0,0,0,0,0,0,13,30,50,93,0,57,1099,57,1306
Uzbekistan,0,0,0,2,0,2,9,11,28,48,0,28,517,22,615
Yemen,2,0,2,1,0,3,12,38,122,172,0,150,1994,185,2503
